City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Marawi,PH,7.9986,124.2928,78.6,69,97,3.49,overcast clouds
178,Kaoma,ZM,-14.7833,24.8,64.24,98,100,4.54,moderate rain
179,Carnarvon,AU,-24.8667,113.6333,80.02,73,1,8.1,clear sky
180,Lakatoro,VU,-16.0999,167.4164,79.12,87,100,14.5,heavy intensity rain
181,Butterworth,MY,5.3991,100.3638,84.24,75,20,6.91,few clouds
182,Dikson,RU,73.5069,80.5464,-27.63,97,14,7.36,few clouds
183,Piacabucu,BR,-10.4056,-36.4344,76.46,80,100,5.95,overcast clouds
184,Nantucket,US,41.2835,-70.0995,41.14,93,100,13.8,mist
185,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,21.85,light rain
186,Mangrol,IN,21.1167,70.1167,63.64,56,2,11.14,clear sky
187,Heves,HU,47.6,20.2833,35.87,90,100,6.33,overcast clouds
188,Port Alfred,ZA,-33.5906,26.891,69.19,95,40,1.01,scattered clouds
189,Rokytne,UA,51.2796,27.214,40.78,90,100,9.93,overcast clouds
190,Saint George,US,37.1041,-113.5841,36.43,89,100,3.44,overcast clouds
191,Upernavik,GL,72.7868,-56.1549,-12.37,94,100,9.44,light snow
192,Zyryanka,RU,65.75,150.85,-25.38,96,100,12.41,overcast clouds
193,Kiunga,PG,-6.1219,141.2906,89.04,57,59,4.56,broken clouds
194,Mokhsogollokh,RU,61.4681,128.9203,-50.6,98,98,0.4,overcast clouds
195,Leeton,AU,-34.5667,146.4,81.16,31,1,7.7,clear sky
196,Bengkulu,ID,-3.8004,102.2655,77.09,85,94,3.18,overcast clouds
197,Linxia,CN,35.6003,103.2064,15.89,68,100,0.92,overcast clouds
198,Lavrentiya,RU,65.5833,-171.0,-22.74,92,30,7.05,scattered clouds
199,Beringovskiy,RU,63.05,179.3167,-22.43,93,84,8.16,broken clouds
200,Mar Del Plata,AR,-38.0023,-57.5575,73.09,92,0,11.99,clear sky
201,Georgetown,MY,5.4112,100.3354,82.33,65,20,5.75,few clouds
202,Tukrah,LY,32.5341,20.5791,59.27,57,100,20.0,overcast clouds
203,Providencia,MX,28.7167,-111.5833,58.23,46,0,10.54,clear sky
204,Ayan,RU,56.45,138.1667,-18.92,74,100,9.04,overcast clouds
205,Maputo,MZ,-25.9653,32.5892,75.45,90,99,1.32,overcast clouds
206,Spornoye,RU,50.8448,37.2913,34.72,81,100,16.4,overcast clouds
207,Dawlatabad,AF,36.4141,64.9053,22.05,93,83,3.13,broken clouds
